synonyms,species,dataset
Otus_asio,Megascops_asio,itis1
Otus_trichopsis,Megascops_trichopsis,itis1
Otus_kennicotti,Megascops_kennicottii,itis1
Otus_nudipes,Megascops_nudipes,itis1
Nyctea_scandiaca,Bubo_scandiacus,itis1
Speotyto_cunicularia,Athene_cunicularia,itis1
Phalaenoptilus_nuttalli,Phalaenoptilus_nuttallii,itis1
Amazilia_verticalis,Amazilia_cyanocephala,itis1
Orthorhynchus_cristatus,Orthorhyncus_cristatus,itis1
Ceryle_alcyon,Megaceryle_alcyon,itis1
Ceryle_torquata,Megaceryle_torquata,itis1
Halcyon_chloris,Todiramphus_chloris,itis1
Halcyon_cinnamonina,Todiramphus_cinnamominus,itis1
Centurus_carolinus,Melanerpes_carolinus,itis1
Centurus_aurifrons,Melanerpes_aurifrons,itis1
Centurus_uropygialis,Melanerpes_uropygialis,itis1
Asyndesmus_lewis,Melanerpes_lewis,itis1
Dendrocopos_villosus,Picoides_villosus,itis1
Dendrocopos_pubescens,Picoides_pubescens,itis1
